Num,ID,CODIGO_ID,ANO,DESAGREGAÇÃO,ESPVIDA,FECTOT,MORT1,MORT5,SOBRE40,SOBRE60,RAZDEP,T_ENV,E_ANOSESTUDO,T_ANALF11A14,T_ANALF15A17,T_ANALF15M,T_ANALF18A24,T_ANALF18M,T_ANALF25A29,T_ANALF25M,T_ATRASO_2_BASICO,T_ATRASO_2_FUND,T_FBBAS,T_FBBAS_tudo,T_FBFUND,T_FBFUND_tudo,T_FBMED,T_FBMED_tudo,T_FBSUPER,T_FLBAS,T_FLBAS_tudo,T_FLFUND,T_FLFUND_tudo,T_FLMED,T_FLMED_tudo,T_FLSUPER,T_FREQ0A5,T_FREQ15A17,T_FREQ18A24,T_FREQ25A29,T_FREQ5A6,T_FREQ6A14,T_FREQ6A17,T_FREQFUND1517,T_FREQFUND1824,T_FREQMED1824,T_FUND11A13,T_FUND11A13_tudo,T_FUND15A17,T_FUND18A24,T_FUND18M,T_FUND25M,T_MED18A20,T_MED18A24,T_MED18M,T_MED25M,T_SUPER25M,CORTE1,CORTE2,CORTE3,CORTE4,CORTE9,GINI,PIND,PINDCRI,PMPOB,PMPOBCRI,PPOB,PPOBCRI,PREN10RICOS,PREN20,PREN20RICOS,PREN40,PREN60,PREN80,PRENTRAB,R1040,R2040,RDPC,RDPC1,RDPC10,RDPC2,RDPC3,RDPC4,RDPC5,RDPCT,RIND,RMPOB,RPOB,THEIL,P_AGRO,P_COM,P_CONSTR,P_EXTR,P_SERV,P_SIUP,P_TRANSF,P_CPR,P_EMP,P_FORMAL,P_TRABCC,P_TRABPUB,P_TRABSC,P_FUND,P_MED,P_SUPER,P_REN0,P_REN1,P_REN2,P_REN3,P_REN5,RENOCUP,THEILtrab,T_ATIV1014,T_ATIV1517,T_ATIV1824,T_ATIV18M,T_ATIV2529,T_DES1014,T_DES1517,T_DES1824,T_DES18M,T_DES2529,T_AGUA,T_BANAGUA,T_DENS,T_LIXO,T_LUZ,T_AGUA_ESGOTO,T_PAREDE,T_CRIFUNDIN_TODOS,T_FORA0A5,T_FORA6A14,T_FUNDIN_TODOS,T_FUNDIN_TODOS_MMEIO,T_FUNDIN18MINF,T_OCUPDESLOC_1,T_RMAXIDOSO,T_SLUZ,T_VULNERA_NESTUDA_NTRAB_MMEIO,T_VULNERA_RMAXIDOSO,T_VULNERA_OCUPDESLOC_13,PEA1014,PEA1517,PEA18M,PESO1,PESO1114,PESO1113,PESO1214,PESO13,PESO15,PESO1517,PESO1524,PESO1618,PESO18,PESO1820,PESO1824,PESO1921,PESO25,PESO4,PESO5,PESO6,PESO610,PESO617,PESO65,PESORUR,PESOTOT,PESOURB,PESO80,PESO0a4,PESO5A9,PESO10a14,PESO15A19,PESO20A24,PESO25A29,PESO30A34,PESO35A39,PESO40A44,PESO45A49,PESO50A54,PESO55A59,PESO60A64,PESO65A69,PESO70A74,PESO75A79,PIA,PIA1014,PIA1517,PIA18M,POP,I_ESCOLARIDADE,I_FREQ_PROP,IDHM,IDHM_E,IDHM_L,IDHM_R
11,2010000011,Rondônia,2010,RURAL,"72,00","2,63","20,26","21,73","95,10","85,21","50,31","5,47","8,46","1,66","1,43","14,84","3,28","16,17","5,91","18,98","25,80","21,14","102,95","102,95","115,30","115,30","68,21","68,21","6,53","88,67","88,67","92,20","92,20","36,66","36,66","3,06","10,49","75,81","20,08","7,74","56,00","94,18","89,36","37,35","5,96","10,15","85,71","83,97","45,77","52,63","25,20","19,22","21,23","21,69","10,96","8,63","1,54","85,00","175,00","294,50","509,33","750,00","0,55","17,20","22,21","31,82","43,39","55,47","70,49","40,57","1,53","57,27","8,79","21,48","42,73","74,36","18,45","12,89","365,71","28,06","1483,52","132,72","232,03","388,63","1036,51","394,23","19,69","59,77","119,02","0,52","71,12","3,71","2,88","0,70","12,80","0,38","2,82","45,34","0,41","24,03","12,88","2,39","15,46","27,40","12,56","1,96","24,90","54,42","86,21","93,23","97,25","630,57","0,42","23,67","41,28","59,84","63,76","65,22","1,51","4,18","5,44","2,24","3,27","76,84","66,96","24,65",,"90,54","18,92","4,68","54,96","89,51","5,82","50,58","30,60","65,63","0,42","5,47","9,46","31,87","78,64","3,38",10254,10973,171861,6284,35065,26118,26774,19570,267693,26267,75226,24609,241426,21690,48959,21117,192467,7253,7499,7447,40099,101431,22601,,413229,,3054,33055,38855,43808,40975,34251,34320,32339,29818,27513,24603,20676,17420,12995,9365,6456,3726,339442,43314,26582,269546,403874,"0,252","0,522","0,582","0,409","0,783","0,614"
11,2010000011,Rondônia,2010,URBANO,"73,36","2,04","17,17","18,43","96,07","87,38","45,53","53,67","9,49","1,26","0,96","6,91","1,11","7,44","1,65","9,12","18,64","14,41","112,28","112,28","118,05","118,05","96,17","96,17","31,45","91,87","91,87","93,86","93,86","46,10","46,10","14,17","32,27","82,06","30,31","15,52","85,55","96,58","92,75","33,08","4,76","10,53","90,64","88,28","54,86","73,86","55,95","51,18","41,25","47,31","38,70","36,41","10,39","225,00","368,89","547,78","935,00","1483,50","0,54","2,58","4,31","8,79","14,98","25,51","38,55","44,03","3,67","58,75","11,21","22,97","41,25","84,89","15,71","10,48","778,58","142,68","3427,87","293,77","457,74","711,77","2287,23","780,70","33,74","88,89","164,82","0,53","6,84","18,93","10,27","0,46","47,84","1,20","8,33","21,35","2,04","60,69","45,05","10,12","19,26","62,40","44,84","11,77","2,69","15,08","65,42","79,58","90,16","1389,59","0,46","7,48","34,51","70,04","71,39","79,09","20,13","22,30","11,65","6,11","6,74","85,87","84,09","28,04","94,64","99,64","10,14","3,62","26,55","67,73","3,42","22,98","10,15","32,69","0,56","4,81","0,36","34,18","61,07","5,27",8444,23931,551977,18910,89687,66635,67659,56760,840578,69627,232081,69010,770951,68433,162454,68973,608497,19301,20057,19641,103985,263299,50915,,94873,,8945,94873,100979,112750,114980,117101,111919,100615,86673,78066,66017,51185,36933,26174,18852,13829,9289,955515,112962,69339,773214,1143467,"0,560","0,681","0,723","0,638","0,806","0,736"
12,2010000012,Acre,2010,RURAL,"71,16","4,81","24,22","26,24","94,27","83,71","78,67","3,61","6,71","15,31","11,15","32,07","15,41","34,68","23,21","40,29","37,30","33,59","99,03","99,03","109,76","109,76","58,46","58,46","7,72","80,49","80,49","82,24","82,24","24,94","24,94","2,27","21,04","71,88","27,18","13,69","60,76","84,31","81,71","43,77","12,33","10,50","59,32","57,64","30,00","36,39","21,83","17,59","12,44","13,47","10,02","9,01","1,71","14,89","67,79","142,40","262,40","432,40","0,64","40,34","48,27","59,66","70,92","79,54","88,56","46,96","0,19","64,40","4,01","14,99","35,60","68,38","46,84","32,12","191,19","1,80","897,77","36,54","104,97","196,99","615,61","229,98","19,61","47,26","84,09","0,64","64,64","2,87","2,57","0,02","20,17","0,20","3,81","30,81","0,54","17,40","14,77","1,20","19,79","23,27","11,66","1,79","35,16","65,62","93,15","96,73","98,67","416,26","0,41","19,91","30,69","51,78","58,24","61,39","2,98","5,71","9,10","4,03","5,03","21,98","15,05","61,54",,"69,20","47,39","20,27","67,98","78,96","15,69","62,11","53,13","73,38","1,22","5,92","30,80","32,74","76,74","5,85",5592,4065,61824,5029,21692,16609,15891,15859,108561,13351,37819,12294,95210,10979,24468,10643,70742,5356,5601,5325,27999,63042,7271,,201280,,1154,26060,27528,27764,20660,17159,15970,13839,11367,9557,7812,6586,5559,4148,3058,1896,1163,147484,28084,13244,106155,199195,"0,218","0,406","0,506","0,330","0,769","0,510"
12,2010000012,Acre,2010,URBANO,"71,96","2,46","22,17","24,02","94,87","85,11","55,65","47,63","9,60","2,37","2,27","11,55","2,87","12,54","4,49","15,36","16,17","14,15","109,43","109,43","112,60","112,60","100,17","100,17","32,78","90,45","90,45","92,77","92,77","51,05","51,05","13,13","34,09","79,98","32,26","17,87","87,80","95,49","91,54","25,54","4,77","13,41","87,72","85,49","61,57","74,56","57,44","52,43","38,70","46,30","40,48","38,78","11,31","150,00","255,00","419,83","760,00","1266,67","0,59","6,28","10,02","18,09","28,05","40,22","55,42","48,33","2,73","63,25","9,04","19,31","36,75","80,05","21,39","14,02","646,68","88,25","3125,44","203,97","332,31","563,84","2049,17","651,91","32,20","81,83","146,17","0,65","5,15","17,06","9,34","0,09","55,65","1,17","4,58","18,88","1,19","54,92","45,00","6,70","25,90","64,51","47,76","13,37","2,82","19,37","69,50","80,64","90,37","1275,85","0,48","5,81","21,51","61,22","66,98","74,15","29,44","36,37","18,13","8,42","9,43","68,46","59,60","40,22","93,63","99,40","20,83","4,84","27,84","65,91","4,51","22,33","14,13","34,38","0,84","5,95","0,60","36,48","68,84","4,73",3462,7564,222144,10097,47525,35650,35667,30957,366401,34598,109499,33729,331803,32632,74901,32042,256902,10591,10741,10639,56307,138430,24435,,51305,,5338,51305,54630,59943,56323,53176,51448,45266,36410,30371,23669,19333,14898,11072,8563,6189,4345,426425,59623,35168,331635,529426,"0,574","0,689","0,710","0,648","0,783","0,706"
13,2010000013,Amazonas,2010,RURAL,"70,87","3,99","22,62","24,21","94,13","83,12","81,36","3,86","6,32","17,20","11,94","25,10","14,54","26,81","17,60","30,82","40,50","34,61","103,57","103,57","116,94","116,94","54,54","54,54","2,15","78,11","78,11","80,19","80,19","16,12","16,12","0,67","24,08","69,27","31,59","15,48","67,35","82,10","79,35","49,69","16,04","11,66","57,32","54,73","22,06","33,43","22,03","18,31","7,75","10,90","8,80","8,12","1,20","6,25","41,75","102,00","203,75","335,17","0,65","49,60","56,22","69,51","78,04","85,49","91,83","47,78","0,01","65,98","3,12","13,34","34,02","66,96","61,27","42,29","141,79","0,04","677,46","22,08","72,46","146,59","467,60","176,94","19,94","43,58","71,17","0,64","80,03","2,04","1,36","0,54","10,94","0,18","3,39","40,86","0,19","7,59","3,41","2,53","14,08","23,37","10,02","1,46","41,44","77,02","95,18","97,71","99,24","318,96","0,41","22,29","32,83","46,98","57,12","57,24","6,21","4,96","8,49","4,71","5,68","16,47","9,86","76,71",,"65,01","59,80","22,63","63,42","75,92","17,90","59,27","53,07","76,09","4,03","8,87","34,99","33,91","74,96","8,78",21977,16118,215728,19544,75661,57395,55672,59825,390986,49531,144218,46114,341455,44055,94687,42197,246768,20603,20781,20138,103333,228525,28129,,728495,,4798,98916,101549,98226,78286,65932,56710,47964,38818,32462,27483,22126,18133,13761,11417,7248,4666,525334,98576,49098,377659,720735,"0,220","0,386","0,484","0,320","0,765","0,462"
13,2010000013,Amazonas,2010,URBANO,"74,22","2,33","15,09","16,17","96,69","88,73","54,32","41,32","9,26","3,42","1,82","6,58","1,85","7,08","2,63","8,58","22,49","16,95","118,15","118,15","122,97","122,97","103,93","103,93","30,98","90,76","90,76","92,18","92,18","40,99","40,99","12,33","33,23","83,45","37,09","18,84","85,40","94,32","91,57","39,89","7,50","16,03","85,66","83,33","47,94","71,92","62,07","59,25","34,34","43,64","43,98","44,08","9,72","137,00","246,00","392,00","702,50","1206,00","0,62","7,70","11,81","20,59","30,37","42,92","56,99","51,77","2,44","65,87","8,30","17,92","34,13","79,90","24,96","15,89","644,49","78,74","3336,56","188,66","309,93","522,49","2123,80","648,36","35,03","80,45","141,77","0,72","6,82","17,48","7,41","0,39","47,05","0,95","13,15","22,56","1,24","51,90","40,35","8,17","23,70","67,52","50,75","11,22","4,94","21,75","71,48","82,82","91,20","1272,57","0,51","7,25","23,12","60,03","67,12","73,21","21,77","28,50","20,09","10,45","12,82","82,78","75,92","53,02","92,98","99,33","10,77","3,35","23,21","66,77","5,68","17,87","12,12","31,75","3,31","6,42","0,67","31,81","52,28","16,91",21915,41253,1156053,53371,238036,178082,178361,161791,1898168,177913,560208,174171,1720255,162689,382295,158686,1337960,55718,57157,55042,289730,705679,112549,,272399,,22903,272399,282720,302203,286508,273700,266694,237556,194014,159582,129850,103818,78111,55786,40305,29321,20020,2203003,302121,178454,1722428,2740049,"0,621","0,633","0,714","0,629","0,820","0,705"
14,2010000014,Roraima,2010,RURAL,"73,25","3,88","16,65","17,80","96,06","87,22","79,42","3,69","6,59","13,66","12,38","24,93","14,01","26,44","18,54","29,84","32,35","29,20","92,48","92,48","98,21","98,21","70,67","70,67","9,07","76,05","76,05","77,26","77,26","29,06","29,06","2,36","25,23","69,26","27,09","11,04","65,81","78,77","76,79","37,98","9,02","14,09","66,20","64,45","34,18","45,55","28,04","23,26","17,03","19,45","13,66","12,09","2,24","0,00","33,33","122,33","255,00","450,71","0,71","48,12","56,05","63,90","73,87","80,51","88,43","54,66","0,00","71,31","2,06","10,05","28,69","70,21","106,05","70,85","194,60","0,00","1063,77","20,06","77,70","181,42","710,63","252,88","15,75","37,53","69,69","0,81","66,06","2,50","1,94","0,22","20,44","0,50","2,80","26,23","0,24","16,13","8,38","5,40","23,30","31,59","16,31","3,03","42,20","66,08","91,37","95,06","97,96","484,29","0,45","22,39","33,35","45,29","53,76","52,86","10,05","12,44","9,14","6,32","10,09","32,74","24,91","70,48",,"61,07","39,59","45,69","56,01","74,77","21,23","51,61","45,25","68,18","1,85","8,01","38,93","38,74","74,38","10,35",3141,2222,29645,2893,11037,8435,8269,8614,57084,7003,18935,6391,50081,5482,11932,5112,38149,2904,2845,2991,14739,32779,3900,,105620,,571,14230,14463,14158,10693,8242,7834,6548,5685,5312,4687,4071,3347,2450,1653,1084,592,75833,14031,6664,55139,102328,"0,280","0,458","0,543","0,389","0,804","0,513"
14,2010000014,Roraima,2010,URBANO,"73,58","2,14","15,96","17,07","96,29","87,80","51,83","35,04","9,44","1,68","0,99","6,56","1,34","7,14","2,01","8,85","18,05","14,74","111,44","111,44","115,41","115,41","99,76","99,76","43,81","92,90","92,90","94,21","94,21","52,96","52,96","16,27","38,02","85,95","33,94","20,00","90,66","96,65","93,93","29,72","4,22","12,18","89,65","87,03","61,09","80,85","66,54","62,32","46,64","55,52","50,04","48,43","12,21","169,50","292,00","499,67","900,00","1553,33","0,58","5,99","8,72","15,56","22,90","35,36","48,50","46,78","2,63","62,91","8,82","19,13","37,09","85,53","21,23","14,35","727,97","95,83","3405,70","225,04","375,50","653,68","2302,97","730,61","33,66","80,51","146,91","0,65","4,85","15,92","8,08","0,42","54,50","0,89","3,95","20,50","1,60","54,21","31,71","18,86","24,75","72,81","57,11","14,05","3,09","17,38","66,36","77,13","87,02","1428,74","0,50","6,00","25,91","65,08","71,12","77,45","17,45","21,49","16,07","7,85","8,67","91,95","88,67","45,48","96,68","99,56","4,36","3,54","18,07","61,98","3,35","14,79","8,93","27,49","0,70","4,52","0,44","33,36","53,35","4,72",2300,5819,154399,6737,29887,22395,22569,20166,238829,22136,71668,21997,216693,20947,49532,20532,167161,6495,7019,6830,35751,87774,11695,,33373,,2283,33373,34904,37753,36294,35374,35356,30447,24063,19996,16834,12847,9300,6623,4353,3076,1983,277845,38302,22459,217084,343653,"0,665","0,720","0,744","0,701","0,810","0,725"
15,2010000015,Pará,2010,RURAL,"71,75","3,30","21,69","23,37","94,77","84,68","67,84","4,29","7,15","10,12","6,03","20,62","8,03","22,34","12,47","26,66","41,23","34,98","109,35","109,35","125,16","125,16","56,96","56,96","5,25","86,99","86,99","90,15","90,15","20,10","20,10","1,57","27,73","75,09","28,20","11,81","77,53","91,48","87,68","53,24","12,75","12,55","62,75","61,41","24,98","39,30","24,11","19,52","9,95","13,32","10,12","9,15","1,30","27,78","90,00","158,13","277,78","443,75","0,59","33,43","41,08","55,63","66,99","77,85","87,34","44,15","0,93","61,02","6,62","18,51","38,98","69,69","26,70","18,44","205,38","9,51","906,83","58,43","122,12","210,24","626,53","228,48","24,91","56,57","95,44","0,58","65,93","4,99","3,13","1,18","14,94","0,19","5,32","40,77","0,48","17,80","10,98","3,22","20,92","25,37","11,69","1,58","26,58","66,63","92,85","96,62","98,61","429,81","0,45","18,54","32,77","52,83","59,70","62,40","8,59","10,48","10,83","5,99","7,14","34,33","25,71","59,09",,"75,35","55,03","23,27","61,92","72,27","8,52","56,16","46,88","70,50","2,87","7,96","24,65","31,76","72,24","8,20",55562,52583,814976,52218,234151,175771,175129,164680,1382207,159787,477914,152822,1222420,142731,318127,137195,904293,57562,58240,56792,297506,691444,102547,,2389492,,17166,273359,290536,299361,254963,222951,200609,174108,144029,121295,99001,83822,70195,52716,41470,26985,16926,1825393,299759,160466,1365168,2358115,"0,241","0,438","0,527","0,359","0,779","0,522"
15,2010000015,Pará,2010,URBANO,"72,70","2,22","19,53","21,05","95,53","86,33","50,82","55,72","9,22","3,32","1,95","7,97","2,18","8,56","3,46","10,33","25,98","20,36","118,34","118,34","123,87","123,87","102,54","102,54","21,79","92,54","92,54","94,10","94,10","41,05","41,05","9,12","37,71","84,68","34,11","14,79","90,29","96,19","93,20","41,52","7,44","16,75","82,25","80,30","47,17","70,08","56,76","53,06","30,53","39,09","36,82","36,19","8,15","130,00","229,80","358,00","633,00","1059,00","0,59","7,91","12,24","21,70","32,13","46,02","60,41","48,84","2,78","63,41","9,21","19,57","36,59","78,39","21,20","13,74","556,93","77,37","2720,22","179,20","288,32","474,08","1763,21","561,07","35,20","81,81","143,73","0,65","8,33","21,82","8,71","0,80","46,27","0,85","7,12","27,02","1,44","45,05","32,41","8,68","27,23","62,59","43,05","9,67","3,91","27,23","75,45","85,69","92,68","1100,88","0,51","6,14","22,54","58,62","64,52","72,23","19,02","24,45","20,01","10,17","12,18","77,38","72,01","44,98","91,92","99,44","17,19","5,63","28,69","62,29","3,81","22,53","15,36","37,13","1,91","7,34","0,56","32,33","59,46","8,86",32933,73535,2177026,90824,425640,316004,321539,277335,3700414,325039,1058270,321619,3375375,311787,733231,309194,2642144,94896,97225,94747,504984,1255663,258149,,463296,,51078,463296,491042,536807,532216,526054,506856,443166,370506,313529,254996,210387,162833,121722,92915,68357,45799,4236911,536597,326183,3374130,5166372,"0,568","0,626","0,690","0,606","0,795","0,682"
16,2010000016,Amapá,2010,RURAL,"71,70","4,46","18,96","20,23","94,91","84,39","80,99","3,86","8,37","8,62","4,00","19,58","6,47","21,69","10,95","26,55","29,95","24,93","106,32","106,32","116,27","116,27","69,59","69,59","8,09","87,01","87,01","89,81","89,81","29,00","29,00","2,25","25,18","74,53","31,53","14,19","77,29","91,47","87,86","42,65","11,26","15,52","70,35","68,35","35,24","47,59","29,57","23,81","13,56","17,44","13,87","12,73","1,89","22,29","85,83","166,75","309,17","510,33","0,62","34,87","41,51","54,65","64,62","74,42","84,34","47,91","0,50","63,87","5,12","15,86","36,13","75,73","37,46","24,94","227,92","5,70","1091,90","52,60","122,46","230,97","727,11","260,16","21,95","51,18","89,43","0,65","60,53","4,60","3,35","1,35","23,94","0,64","2,63","39,44","0,16","19,56","12,43","5,19","17,57","30,71","15,94","2,52","27,34","57,60","88,20","93,22","97,22","550,13","0,39","18,56","30,45","51,94","62,67","62,80","5,11","8,89","10,84","5,12","6,42","40,91","30,72","68,17",,"85,41","51,79","13,21","51,53","74,82","8,53","47,42","38,30","65,09","4,31","7,23","14,59","32,07","75,48","15,24",1801,1458,22197,1800,7412,5601,5544,5433,36731,4825,13377,4520,31906,3958,8552,3662,23354,1849,1837,1838,9749,21986,2645,,68490,,441,9005,9522,9476,7565,5812,5036,4271,3756,3247,2613,2283,1891,1368,1114,684,406,49916,9707,4789,35420,67756,"0,296","0,491","0,558","0,415","0,778","0,538"
16,2010000016,Amapá,2010,URBANO,"74,44","2,34","13,97","14,91","96,90","89,21","55,41","33,53","9,57","2,77","1,82","7,03","1,66","7,61","2,66","9,48","21,06","17,15","111,74","111,74","115,39","115,39","100,94","100,94","33,46","92,25","92,25","93,54","93,54","49,07","49,07","13,99","29,74","84,21","34,27","16,14","83,62","95,91","92,96","32,70","4,95","14,47","85,67","83,65","56,55","76,55","64,85","61,17","38,04","48,42","47,25","46,88","11,71","137,33","250,00","422,00","824,00","1377,50","0,59","7,10","10,49","20,60","29,46","41,90","54,44","46,62","2,55","63,09","8,49","18,59","36,91","84,67","21,95","14,83","641,13","81,60","2989,06","190,71","323,62","587,36","2019,02","644,37","37,21","83,37","141,36","0,66","5,17","18,40","8,54","1,04","52,36","1,04","4,49","23,04","1,33","51,85","35,98","12,96","24,09","70,05","54,10","13,47","3,13","20,70","66,77","77,65","88,20","1364,27","0,50","6,21","22,03","61,41","70,38","75,70","28,46","30,47","24,42","12,04","14,22","77,17","70,44","52,37","96,38","99,73","18,07","3,81","20,30","70,26","4,09","15,51","10,51","29,44","1,45","5,60","0,27","34,77","52,95","7,50",4308,8923,258419,11948,55057,41116,41393,36271,407179,40589,128446,39904,366590,37851,87857,37307,278733,12303,12189,12020,65643,161289,20442,,60968,,3906,60968,63134,69755,65709,62737,58765,51021,42998,34031,26346,20568,14741,9821,7718,5294,3524,477060,69397,40499,367164,596411,"0,649","0,660","0,725","0,656","0,824","0,704"
